Rank,Address,Name Tag,Balance,Percentage,Txn Count
82,0x554f4476825293d4ad20e02b54aca13956acc40a,,"150,000 Ether",0.12696702%,4
83,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,,"150,000 Ether",0.12696702%,4
84,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,,"150,000 Ether",0.12696702%,4
85,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,,"150,000 Ether",0.12696702%,4
86,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,,"150,000 Ether",0.12696702%,4
87,0x8b83b9c4683aa4ec897c569010f09c6d04608163,,"150,000 Ether",0.12696702%,4
88,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,,"150,000 Ether",0.12696702%,4
89,0x828103b231b39fffce028562412b3c04a4640e64,,"150,000 Ether",0.12696702%,5
90,0xe35b0ef92452c353dbb93775e0df97cedf873c72,,"150,000 Ether",0.12696702%,4
91,0x0518f5bb058f6215a0ff5f4df54dae832d734e04,,"150,000 Ether",0.12696702%,4
92,0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,,"150,000 Ether",0.12696702%,4
93,0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,,"150,000 Ether",0.12696702%,4
94,0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,,"150,000 Ether",0.12696702%,25
95,0x7145cfedcf479bede20c0a4ba1868c93507d5786,,"150,000 Ether",0.12696702%,40
96,0x2fa9f9efc767650aace0422668444c3ff63e1f8d,,"148,531.71231403 Ether",0.12572419%,13
97,0xd57479b8287666b44978255f1677e412d454d4f0,,"147,699.4245034 Ether",0.12501971%,4
98,0x4baf012726cb5ec7dda57bc2770798a38100c44d,,"145,000.09839497 Ether",0.12273487%,7
99,0x67fde691b11e96083fc52a5b74d73f0695811a3b,,"144,370.00496029 Ether",0.12220153%,6
100,0x5fc90190177ea60c0aebc0ee7157541399b46d10,,"142,799.17441578 Ether",0.12087191%,2
